Actual,Predicted
17,17.7965
31,18.202341
25,21.361303
29,23.073706
20,24.22758
19,19.14754
15,19.3675
9,14.72438
12,13.259171
16,13.930152
13,12.80552
7,11.3411
14,12.403728
6,11.110241
4,8.676119
20,10.034681
21,12.728631
7,11.270345
16,13.287239
8,14.092866
5,11.175975
4,7.7889466
5,7.4491134
21,8.454655
7,8.246554
16,10.464484
2,10.108701
17,12.411454
11,10.449921
13,11.581517
4,6.5409093
4,4.3781633
0,3.91874
2,3.9156172
5,3.0034938
2,2.6219304
0,1.8324733
0,1.8324767
3,2.0040505
0,0.9393828
3,1.107917
0,1.1146128
4,2.1261864
3,2.1196127
13,4.9651275
10,6.3527894
14,13.023545
7,11.337557
12,11.810426
15,12.414243
12,11.835517
16,12.394647
9,12.701419
10,12.219353
15,12.258681
8,11.38959
5,9.218532
16,10.691712
17,12.078687
2,9.477972
2,8.300158
15,10.185886
6,8.116041
4,5.5639825
9,7.007848
6,7.866333
2,5.222817
5,5.0348573
4,5.0288386
11,5.38279
2,4.5995107
13,6.9152827
7,7.335605
7,7.883862
6,6.8963537
2,6.8703094
6,19.729898
29,19.704699
33,23.29386
24,22.837317
30,24.169199
27,28.334436
36,29.877174
30,29.317986
25,29.596348
27,28.972742
32,29.992718
33,29.286375
17,26.653643
35,28.453627
24,27.76444
18,24.96255
33,25.080595
16,24.853132
44,26.772833
33,28.62655
23,29.48269
21,27.069935
34,30.617212
24,26.53448
38,27.57557
30,29.06281
24,29.632523
21,27.112982
32,28.90946
12,23.608679
22,22.049868
12,19.68606
40,23.611198
25,22.00503
27,24.970163
25,25.634525
20,14.725369
21,16.927614
19,17.815422
15,16.905056
21,18.97439
15,18.085472
19,17.734745
43,22.65949
16,22.94142
14,21.446867
20,22.524988
12,21.01908
26,17.524324
23,18.937551
17,19.585754
23,20.175114
22,22.384523
28,22.789194
15,21.138554
14,20.557034
13,18.444586
19,17.698277
22,16.442387
13,16.03547
16,16.406404
23,18.504988
12,17.048214
13,15.29717
12,15.131124
25,16.869543
18,15.834801
20,17.440584
21,18.988085
13,19.163858
21,18.324091
8,16.402262
23,17.119905
4,13.851565
20,15.306327
29,17.06419
21,19.726137
13,17.628044
19,20.5895
21,20.717821
20,18.844501
8,16.238314
5,12.899194
19,15.075786
22,16.43638
12,16.092474
14,14.3044
13,15.88391
15,15.1585455
20,14.794473
11,14.586949
17,15.158456
18,16.192638
14,15.96681
17,15.356721
16,16.363457
8,14.583982
14,13.714709
4,11.658877
12,10.62923
3,7.9319377
11,8.533042
13,8.378223
20,11.498575
19,12.95009
2,12.781985
18,14.119331
10,13.535364
3,10.322422
10,8.34657
8,9.564906
11,8.129604
7,7.463463
18,10.510756
24,13.469584
14,14.627166
20,16.300924
23,19.65816
13,18.488184
16,16.856524
13,16.712894
6,14.078963
5,10.359414
11,10.063428
9,12.757133
2,10.318988
2,6.5974336
0,5.013337
4,3.2926083
7,2.9559505
11,4.815905
13,7.0767074
10,9.13331
19,12.101592
12,13.106685
16,14.176452
2,11.902758
8,11.3989725
4,8.411663
12,8.349475
7,6.530044
7,7.5865536
8,7.6239505
7,8.169326
9,7.5439134
1,6.211454
13,7.4771123
6,7.0214667
4,6.409389
2,4.983082
4,5.81062
13,5.7736135
3,5.300826
7,6.046945
20,9.62336
7,10.0504265
16,10.749854
4,4.249373
2,4.2144413
10,5.9830995
5,6.2540584
3,4.632667
7,5.244329
2,5.213005
8,4.9416146
5,4.9779587
7,5.9432807
4,5.1979156
3,5.3431535
9,5.4638343
14,7.289514
11,7.958179
17,10.654175
12,12.499638
22,15.102481
12,14.642902
13,14.955831
16,14.699433
12,14.597594
4,10.97457
13,11.196986
17,12.164496
8,10.60301
6,9.419229
12,11.056949
18,12.068278
5,9.507123
9,19.436651
27,19.703295
20,19.625332
26,19.317713
35,22.733658
17,24.369453
16,22.177988
34,25.089678
18,23.630066
12,19.277313
18,19.48691
29,22.03557
28,20.916922
23,21.680887
10,21.324278
32,24.206772
25,23.37792
16,20.802206
22,20.66662
24,23.445112
13,19.556112
23,19.267073
28,21.61489
23,21.941294
16,20.376196
33,24.228275
15,22.520025
26,22.266973
28,23.1195
33,26.52362
38,27.752699
24,29.434803
23,28.822325
24,28.095346
26,26.592505
35,25.90116
18,24.834515
12,22.667181
35,24.898802
27,25.13054
24,23.049032
21,20.90859
29,22.267275
21,23.858122
20,23.775259
27,23.524712
22,23.663687
25,22.825617
33,25.237879
11,23.429026
18,21.5314
29,22.91463
21,22.135027
23,20.036112
21,22.02804
15,21.41624
32,21.951712
33,24.27081
28,25.438099
7,22.67999
11,22.006462
34,22.413952
0,2.974368
0,1.6925597
5,1.8129427
9,2.8398538
0,2.7966046
0,2.789919
6,4.0657096
11,5.2159657
3,3.9779947
2,4.5006366
3,5.1308966
7,5.35296
0,3.05376
3,3.0787635
0,2.6457891
9,3.9455009
6,3.679957
6,5.0195866
2,4.79332
6,6.0544114
6,5.399567
3,4.7277107
0,3.457487
6,4.339267
0,3.0941772
11,4.1045403
19,7.4644904
21,26.454973
16,23.480555
27,22.003828
31,20.949537
34,25.689556
13,24.12727
23,25.55898
13,22.71998
19,20.266703
28,19.228573
12,18.935556
30,20.40997
28,23.448553
38,27.207237
39,29.225748
30,32.799797
8,28.428381
17,26.302462
35,25.698668
26,23.055939
15,19.99284
27,23.783152
37,27.892202
