Actual,Predicted
4,3.999189
8,7.9993315
7,6.9993963
18,17.999336
4,3.9993424
15,14.999223
6,5.999281
15,14.999287
7,6.999188
11,10.999086
0,-0.00064462423
3,2.9993706
10,9.999463
5,4.999425
6,5.9994125
3,2.999467
3,2.9994931
0,-0.00048094988
0,-0.00039118528
4,3.9996667
2,1.9995863
12,11.999559
18,17.999355
4,3.9993443
22,21.999245
20,19.999107
2,1.9991727
7,6.999255
4,3.9991584
7,6.9993634
5,4.999469
6,5.999426
8,7.9993467
0,-0.0005415082
0,-0.00046807528
4,3.999436
12,11.999363
12,11.999302
15,14.99929
5,4.9991274
15,14.9990425
6,5.9991274
1,0.9991796
0,-0.0006836057
7,6.9993167
11,10.999397
9,8.999344
7,6.9993114
6,5.99938
5,4.999356
0,-0.00048816204
6,5.999381
7,6.9994917
2,1.99945
11,10.999383
12,11.999298
3,2.9993596
4,3.999237
4,3.9993358
5,4.99931
4,3.9994187
0,-0.0004863143
7,6.9994493
4,3.9994988
11,10.999402
4,3.9995265
11,10.999315
2,1.999442
5,4.999505
18,17.99934
2,1.9993929
11,10.999359
2,1.999356
16,15.999182
8,7.99938
2,1.9992231
10,9.999254
0,-0.0006235838
2,1.9995064
3,2.9995522
3,2.9995203
2,1.9996208
11,10.999494
14,13.999295
10,9.999376
3,2.9992948
9,8.999152
12,11.999226
5,4.9993205
9,8.999113
10,9.999198
8,7.999181
11,10.999191
5,4.9993
7,6.999311
12,11.999191
2,1.9991893
0,-0.0007375479
9,8.999455
9,8.999183
2,1.9994446
0,-0.00042903423
0,-0.00043338537
16,15.999261
0,-0.0004491806
10,9.999292
5,4.9994135
4,3.9993258
2,1.9994771
10,9.999355
14,13.999356
3,2.9993534
0,-0.0005863309
8,7.9993114
5,4.9993305
4,3.999349
2,1.9994063
4,3.999392
5,4.9994907
4,3.9993868
2,1.9994951
0,-0.00047665834
3,2.9995136
9,8.999531
2,1.9995077
0,-0.00038290024
10,9.9995
7,6.9993286
4,3.9994411
6,5.999479
15,14.999171
11,10.999237
4,3.9993277
0,-0.0005877018
3,2.9994211
0,-0.0004376173
10,9.999565
3,2.9995818
5,4.999496
2,1.9995307
6,5.9994087
0,-0.00042152405
4,3.9995003
0,-0.00037109852
4,3.9995265
0,-0.00033527613
5,4.999595
3,2.9996176
5,4.999591
3,2.9996147
5,4.9995713
3,2.9996018
5,4.999575
0,-0.00041913986
2,1.9995977
0,-0.00035572052
0,-0.00028789043
2,1.9997857
0,-0.00022274256
0,-0.00019416213
4,3.9997582
4,3.9995666
7,6.9996395
0,-0.00034815073
4,3.999576
0,-0.0003774166
8,7.9995193
0,-0.00028073788
7,6.999405
0,-0.00023853779
3,2.9996214
9,8.999279
3,2.9994402
6,5.999373
2,1.9993821
13,12.999447
3,2.9995122
12,11.999378
7,6.9992523
2,1.9991813
0,-0.0006079674
2,1.9993502
10,9.999358
5,4.9993076
8,7.9994516
10,9.999264
4,3.9991903
4,3.9991908
8,7.999364
12,11.999157
5,4.999134
10,9.999145
8,7.9991302
8,7.999092
19,18.999207
19,18.999062
4,3.9990497
13,12.99899
16,15.999061
8,7.9990234
3,2.9989872
10,9.999023
7,6.999008
22,21.999187
12,11.998997
10,9.999028
10,9.998738
14,13.998768
29,28.998953
11,10.998903
17,16.998852
18,17.998735
3,2.998952
5,4.998957
11,10.999028
14,13.999046
10,9.999012
19,18.999018
5,4.998969
17,16.999058
15,14.999039
5,4.9990754
0,-0.0009481907
7,6.999208
6,5.9991283
15,14.999317
12,11.999228
13,12.999151
7,6.999016
4,3.9991078
27,26.999132
16,15.999004
10,9.99901
3,2.999117
4,3.9990149
14,13.99922
7,6.999113
8,7.9992075
11,10.999079
9,8.999058
13,12.999182
15,14.999017
9,8.998966
17,16.999035
0,-0.0010002851
10,9.9991455
6,5.9992228
8,7.9992323
7,6.999316
7,6.999213
12,11.999272
17,16.99915
15,14.999089
11,10.9990635
0,-0.00085008144
9,8.999121
9,8.999126
9,8.99925
5,4.9991407
5,4.9991765
14,13.999122
17,16.999138
9,8.99893
19,18.999092
12,11.998974
6,5.9989986
19,18.99896
17,16.998863
26,25.998875
22,21.998852
11,10.998718
16,15.998874
8,7.9987917
23,22.998627
18,17.999039
2,1.9990572
9,8.998951
12,11.99892
5,4.999003
18,17.999073
9,8.999015
12,11.999021
20,19.999012
23,22.998919
11,10.998847
25,24.998718
16,15.998692
12,11.998715
11,10.998919
17,16.99876
3,2.9988008
9,8.998901
13,12.999004
15,14.998966
19,18.998869
13,12.998898
14,13.99881
11,10.998797
10,9.998773
8,7.998852
11,10.998966
21,20.999025
9,8.999035
7,6.999076
10,9.999168
13,12.999022
9,8.999157
19,18.999012
11,10.998947
8,7.999037
10,9.999128
13,12.998964
17,16.998875
17,16.998943
4,3.9989133
8,7.9989786
13,12.99898
11,10.998955
5,4.998989
10,9.998991
21,20.998775
16,15.999043
19,18.99892
23,22.998783
5,4.9988427
10,9.998723
8,7.9989386
7,6.9990416
5,4.9990873
11,10.999056
22,21.999105
5,4.999007
15,14.998948
13,12.998913
16,15.99892
13,12.998926
19,18.998985
8,7.998914
12,11.999001
16,15.998983
10,9.998941
8,7.9990964
2,1.9990067
10,9.999212
5,4.9991217
8,7.999264
12,11.999231
